machine_id,timestamp,voltage,rpm,pressure_psi,vibration_mm_s,temperature_c,current,power_kw,load_pct,operating_state,maintenance_count,error_count_24h,error_count_7d,age,vibration_delta,pressure_delta,temperature_delta,failure
PUMP-MONITOR,2026-01-01T00:55:00,473.94,3010.54,112.09,3.06,83.21,54.15,25.66,70.38,degraded,6,0,2,5,-1.7775,9.5047,-1.5956,0
PUMP-MONITOR,2026-01-01T01:00:00,483.82,2935.42,91.91,5.47,79.62,52.38,25.34,59.9,degraded,6,0,1,5,2.4102,-20.1806,-3.5982,0
PUMP-MONITOR,2026-01-01T01:05:00,478.01,3025.8,112.68,3.59,71.26,53.21,25.43,78.2,degraded,6,0,1,5,-1.8754,20.7725,-8.3563,0
PUMP-MONITOR,2026-01-01T01:10:00,474.24,3164.6,107.18,5.5,77.68,49.61,23.53,63.03,degraded,6,0,4,5,1.9051,-5.4997,6.4212,0
PUMP-MONITOR,2026-01-01T01:15:00,481.35,3113.82,104.91,4.22,84.61,52.27,25.16,66.41,degraded,6,0,1,5,-1.273,-2.2707,6.9307,0
PUMP-MONITOR,2026-01-01T01:20:00,472.38,3082.45,90.01,5.05,74.42,52.72,24.9,78.87,degraded,6,0,0,5,0.8313,-14.8986,-10.1893,0
PUMP-MONITOR,2026-01-01T01:25:00,476.46,2912.51,97.71,5.94,77.56,51.43,24.5,55.21,degraded,6,0,3,5,0.89,7.7017,3.1331,0
PUMP-MONITOR,2026-01-01T01:30:00,473.93,3049.49,90.53,3.57,74.05,48.32,22.9,57.88,degraded,6,0,3,5,-2.371,-7.1803,-3.5048,0
PUMP-MONITOR,2026-01-01T01:35:00,488.96,3088.83,95.04,5.79,84.03,53.13,25.98,59.18,degraded,6,0,3,5,2.2172,4.5024,9.9755,0
PUMP-MONITOR,2026-01-01T01:40:00,488.93,2978.73,97.84,3.86,75.82,53.12,25.97,65.46,degraded,6,0,3,5,-1.9308,2.8077,-8.2017,0
PUMP-MONITOR,2026-01-01T01:45:00,479.56,2992.03,102.0,5.57,72.8,52.18,25.02,69.9,degraded,6,0,0,5,1.712,4.1518,-3.0234,0
PUMP-MONITOR,2026-01-01T01:50:00,483.81,2962.15,93.33,4.85,78.43,54.7,26.47,75.07,degraded,6,0,3,5,-0.7212,-8.6682,5.6259,0
PUMP-MONITOR,2026-01-01T01:55:00,470.01,3092.62,100.44,5.59,71.82,49.9,23.45,69.17,degraded,6,0,0,5,0.7379,7.1116,-6.6042,0
PUMP-MONITOR,2026-01-01T02:00:00,487.13,3005.89,97.72,4.38,76.35,50.71,24.7,58.09,degraded,6,0,2,5,-1.2037,-2.7204,4.5282,0
PUMP-MONITOR,2026-01-01T02:05:00,481.65,2998.23,107.29,4.2,82.3,51.09,24.61,67.89,degraded,6,0,4,5,-0.1838,9.5719,5.9504,0
PUMP-MONITOR,2026-01-01T02:10:00,476.25,3021.56,97.69,3.26,70.18,53.23,25.35,77.85,degraded,6,0,1,5,-0.9409,-9.6044,-12.1248,0
PUMP-MONITOR,2026-01-01T02:15:00,482.4,2957.38,108.31,5.87,76.79,54.44,26.26,69.99,degraded,6,0,0,5,2.6059,10.6223,6.6159,0
PUMP-MONITOR,2026-01-01T02:20:00,478.46,2904.87,91.39,5.12,81.57,52.05,24.9,62.15,degraded,6,0,0,5,-0.749,-16.9212,4.7777,0
PUMP-MONITOR,2026-01-01T02:25:00,471.55,2915.19,101.74,3.08,82.66,48.76,22.99,58.48,degraded,6,0,2,5,-2.0366,10.3482,1.0912,0
PUMP-MONITOR,2026-01-01T02:30:00,482.75,3150.14,107.57,5.47,80.43,51.26,24.75,58.49,degraded,6,0,1,5,2.3891,5.8375,-2.2307,0
PUMP-MONITOR,2026-01-01T02:35:00,472.93,2914.15,95.13,4.12,78.32,50.62,23.94,60.58,degraded,6,0,0,5,-1.3472,-12.4389,-2.1112,0
PUMP-MONITOR,2026-01-01T02:40:00,483.96,3187.64,105.68,5.98,78.76,53.54,25.91,74.09,degraded,6,0,3,5,1.8608,10.5461,0.4373,0
PUMP-MONITOR,2026-01-01T02:45:00,482.01,3032.16,114.8,4.18,76.58,51.1,24.63,68.35,degraded,6,0,2,5,-1.8054,9.1204,-2.1737,0
PUMP-MONITOR,2026-01-01T02:50:00,473.63,3078.42,99.6,5.62,82.74,49.62,23.5,65.21,degraded,6,0,4,5,1.4478,-15.2013,6.1541,0
PUMP-MONITOR,2026-01-01T02:55:00,477.52,3038.34,94.97,5.7,72.35,49.91,23.83,55.59,degraded,6,0,4,5,0.0777,-4.6304,-10.3887,0
PUMP-MONITOR,2026-01-01T03:00:00,482.7,3143.35,105.38,3.38,77.61,50.3,24.28,65.99,degraded,6,0,0,5,-2.3249,10.4118,5.2583,0
PUMP-MONITOR,2026-01-01T03:05:00,474.15,3128.28,102.96,3.72,79.72,54.05,25.63,69.64,degraded,6,0,4,5,0.343,-2.4166,2.1177,0
PUMP-MONITOR,2026-01-01T03:10:00,472.3,3197.51,107.54,4.91,78.88,49.16,23.22,61.24,degraded,6,0,3,5,1.1863,4.5763,-0.8394,0
PUMP-MONITOR,2026-01-01T03:15:00,485.04,2984.42,114.01,3.17,74.26,52.89,25.65,60.99,degraded,6,0,4,5,-1.7403,6.4688,-4.6284,0
PUMP-MONITOR,2026-01-01T03:20:00,473.3,3068.09,106.27,3.03,80.61,52.41,24.81,62.04,degraded,6,0,3,5,-0.1403,-7.7341,6.3587,0
PUMP-MONITOR,2026-01-01T03:25:00,471.71,3013.9,95.35,5.06,76.15,51.34,24.22,59.49,degraded,6,0,2,5,2.0339,-10.9241,-4.4648,0
PUMP-MONITOR,2026-01-01T03:30:00,489.61,2934.99,112.3,4.96,73.51,50.2,24.58,61.03,degraded,6,0,2,5,-0.0963,16.9501,-2.6369,0
PUMP-MONITOR,2026-01-01T03:35:00,479.63,3100.02,91.94,3.74,76.19,50.24,24.1,58.98,degraded,6,0,0,5,-1.2262,-20.3652,2.6748,0
PUMP-MONITOR,2026-01-01T03:40:00,484.35,2939.2,113.3,5.4,73.18,53.05,25.69,63.76,degraded,6,0,0,5,1.6597,21.367,-3.0083,0
PUMP-MONITOR,2026-01-01T03:45:00,489.84,2936.22,97.1,5.34,80.74,52.57,25.75,65.28,degraded,6,0,1,5,-0.059,-16.2055,7.5639,0
PUMP-MONITOR,2026-01-01T03:50:00,473.39,3173.84,91.49,5.71,81.67,54.67,25.88,77.2,degraded,6,0,4,5,0.3763,-5.6037,0.9229,0
PUMP-MONITOR,2026-01-01T03:55:00,485.42,3177.77,106.88,4.03,71.84,50.27,24.4,57.48,degraded,6,0,0,5,-1.6821,15.3857,-9.8285,0
PUMP-MONITOR,2026-01-01T04:00:00,471.85,3015.87,93.32,5.31,75.59,53.76,25.37,77.27,degraded,6,0,1,5,1.2751,-13.561,3.7494,0
PUMP-MONITOR,2026-01-01T04:05:00,480.18,2905.11,109.64,5.9,78.1,54.51,26.18,76.24,degraded,6,0,0,5,0.588,16.3242,2.5079,0
PUMP-MONITOR,2026-01-01T04:10:00,477.95,3145.79,99.91,3.44,71.45,50.98,24.36,69.04,degraded,6,0,4,5,-2.4567,-9.7339,-6.641,0
PUMP-MONITOR,2026-01-01T04:15:00,475.46,3041.27,109.32,5.38,84.4,53.39,25.39,68.65,degraded,6,0,1,5,1.9427,9.4071,12.9493,0
PUMP-MONITOR,2026-01-01T04:20:00,476.11,3101.58,101.12,3.15,84.65,50.91,24.24,55.33,degraded,6,0,1,5,-2.2338,-8.1956,0.2482,0
PUMP-MONITOR,2026-01-01T04:25:00,489.8,3197.7,103.9,3.57,77.79,53.82,26.36,78.56,degraded,6,0,4,5,0.4174,2.7787,-6.8647,0
PUMP-MONITOR,2026-01-01T04:30:00,473.42,3089.48,111.42,5.5,74.54,49.5,23.44,60.87,degraded,6,0,3,5,1.939,7.5257,-3.2434,0
PUMP-MONITOR,2026-01-01T04:35:00,480.62,3077.38,93.7,3.99,76.22,53.03,25.49,62.53,degraded,6,0,0,5,-1.5099,-17.7262,1.6776,0
PUMP-MONITOR,2026-01-01T04:40:00,481.78,3026.72,108.03,4.84,73.73,49.92,24.05,64.01,degraded,6,0,0,5,0.8445,14.3359,-2.4888,0
PUMP-MONITOR,2026-01-01T04:45:00,473.93,2913.93,90.69,5.34,82.92,47.73,22.62,56.78,degraded,6,0,3,5,0.5012,-17.3437,9.1833,0
PUMP-MONITOR,2026-01-01T04:50:00,481.09,2981.1,100.38,5.4,78.11,55.28,26.6,77.81,degraded,6,0,4,5,0.0606,9.6864,-4.8063,0
PUMP-MONITOR,2026-01-01T04:55:00,479.74,3060.11,109.24,5.77,83.31,52.32,25.1,67.82,degraded,6,0,1,5,0.3676,8.8658,5.2039,0
PUMP-MONITOR,2026-01-01T05:00:00,485.58,2977.16,96.44,3.99,76.63,53.43,25.95,76.29,degraded,6,0,1,5,-1.776,-12.8064,-6.6808,0
PUMP-MONITOR,2026-01-01T05:05:00,485.58,3023.83,94.93,5.91,72.32,53.88,26.16,72.7,degraded,6,0,2,5,1.9157,-1.501,-4.3077,0
PUMP-MONITOR,2026-01-01T05:10:00,481.65,3177.29,113.84,4.44,80.55,52.2,25.14,76.63,degraded,6,0,0,5,-1.4638,18.9031,8.2223,0
PUMP-MONITOR,2026-01-01T05:15:00,483.94,3017.99,114.75,4.59,75.67,52.45,25.38,75.47,degraded,6,0,4,5,0.1501,0.9136,-4.8734,0
PUMP-MONITOR,2026-01-01T05:20:00,481.48,3153.59,102.88,3.76,80.83,51.61,24.85,73.79,degraded,6,0,2,5,-0.8303,-11.8759,5.1563,0
PUMP-MONITOR,2026-01-01T05:25:00,483.84,2927.42,112.44,3.49,76.28,51.36,24.85,64.73,degraded,6,0,0,5,-0.2736,9.5654,-4.5458,0
PUMP-MONITOR,2026-01-01T05:30:00,483.57,2995.58,99.78,4.39,75.06,55.46,26.82,74.35,degraded,6,0,1,5,0.8961,-12.6603,-1.2198,0
PUMP-MONITOR,2026-01-01T05:35:00,470.74,3049.18,92.65,5.08,70.3,50.76,23.89,63.46,degraded,6,0,4,5,0.6939,-7.1292,-4.7616,0
PUMP-MONITOR,2026-01-01T05:40:00,478.42,3090.3,110.25,5.43,83.3,51.48,24.63,59.58,degraded,6,0,3,5,0.3459,17.5943,12.998,0
PUMP-MONITOR,2026-01-01T05:45:00,471.52,2909.45,107.85,5.55,83.2,51.53,24.3,59.71,degraded,6,0,2,5,0.1283,-2.3981,-0.1053,0
PUMP-MONITOR,2026-01-01T05:50:00,480.67,3153.12,100.48,4.53,80.12,53.51,25.72,71.75,degraded,6,0,0,5,-1.028,-7.3639,-3.072,0
PUMP-MONITOR,2026-01-01T05:55:00,486.34,2962.24,113.88,3.5,79.08,53.41,25.98,71.66,degraded,6,0,0,5,-1.0286,13.3992,-1.0401,0
PUMP-MONITOR,2026-01-01T06:00:00,483.78,2902.01,107.84,3.67,78.78,51.63,24.98,69.16,degraded,6,0,0,5,0.1741,-6.0437,-0.2991,0
PUMP-MONITOR,2026-01-01T06:05:00,474.9,3180.71,111.92,4.05,74.68,54.36,25.82,73.41,degraded,6,0,0,5,0.3773,4.0761,-4.1044,0
PUMP-MONITOR,2026-01-01T06:10:00,487.79,2913.75,98.52,4.01,70.05,54.11,26.39,75.88,degraded,6,0,4,5,-0.0354,-13.3955,-4.6325,0
PUMP-MONITOR,2026-01-01T06:15:00,470.89,2998.52,91.45,5.06,76.96,49.88,23.49,70.07,degraded,6,0,0,5,1.0483,-7.0704,6.9088,0
PUMP-MONITOR,2026-01-01T06:20:00,485.51,3129.87,112.8,4.56,72.94,54.24,26.33,68.07,degraded,6,0,3,5,-0.4974,21.3528,-4.0202,0
PUMP-MONITOR,2026-01-01T06:25:00,472.62,3077.1,113.76,3.25,80.55,50.82,24.02,64.75,degraded,6,0,3,5,-1.3102,0.9609,7.6141,0
PUMP-MONITOR,2026-01-01T06:30:00,488.3,3038.4,94.67,4.25,83.89,52.36,25.57,69.29,degraded,6,0,3,5,0.9948,-19.0892,3.3375,0
PUMP-MONITOR,2026-01-01T06:35:00,482.41,3008.36,96.85,4.64,79.26,54.45,26.27,78.16,degraded,6,0,0,5,0.3878,2.1717,-4.6318,0
PUMP-MONITOR,2026-01-01T06:40:00,483.76,2978.47,110.86,5.4,81.33,51.79,25.05,66.84,degraded,6,0,3,5,0.7642,14.0095,2.0725,0
PUMP-MONITOR,2026-01-01T06:45:00,476.71,3002.52,98.1,3.51,74.47,51.66,24.63,75.6,degraded,6,0,4,5,-1.8955,-12.7573,-6.8537,0
PUMP-MONITOR,2026-01-01T06:50:00,480.61,3147.5,99.68,4.57,78.92,49.71,23.89,64.23,degraded,6,0,4,5,1.0609,1.5842,4.447,0
PUMP-MONITOR,2026-01-01T06:55:00,473.97,3039.55,101.0,3.85,80.78,49.42,23.42,62.5,degraded,6,0,4,5,-0.7144,1.3202,1.8542,0
PUMP-MONITOR,2026-01-01T07:00:00,486.26,3138.1,111.51,3.65,84.82,53.97,26.25,73.71,degraded,6,0,2,5,-0.1995,10.5062,4.0444,0
PUMP-MONITOR,2026-01-01T07:05:00,470.29,3018.31,97.85,4.62,80.36,49.41,23.24,59.93,degraded,6,0,1,5,0.9637,-13.662,-4.4629,0
PUMP-MONITOR,2026-01-01T07:10:00,478.16,2949.97,112.94,3.72,77.57,51.29,24.52,69.29,degraded,6,0,3,5,-0.9008,15.0937,-2.7861,0
PUMP-MONITOR,2026-01-01T07:15:00,483.06,2986.21,112.62,5.91,72.73,51.43,24.84,56.6,degraded,6,0,4,5,2.195,-0.3193,-4.8431,0
PUMP-MONITOR,2026-01-01T07:20:00,476.39,3188.73,99.73,4.27,77.36,53.88,25.67,75.09,degraded,6,0,4,5,-1.6366,-12.8959,4.6286,0
PUMP-MONITOR,2026-01-01T07:25:00,488.59,3073.12,91.95,5.63,78.62,55.39,27.06,71.06,degraded,6,0,4,5,1.3555,-7.7756,1.2599,0
PUMP-MONITOR,2026-01-01T07:30:00,486.85,3148.42,112.32,4.21,76.34,52.96,25.78,66.67,degraded,6,0,0,5,-1.4205,20.3744,-2.2759,0
PUMP-MONITOR,2026-01-01T07:35:00,474.26,3153.26,100.15,5.93,74.83,51.08,24.22,72.36,degraded,6,0,4,5,1.7184,-12.1738,-1.5123,0
PUMP-MONITOR,2026-01-01T07:40:00,470.62,3059.29,98.71,5.29,82.96,52.88,24.89,79.38,degraded,6,0,2,5,-0.6341,-1.4374,8.1349,0
PUMP-MONITOR,2026-01-01T07:45:00,475.9,2923.41,100.71,5.55,81.58,50.79,24.17,72.03,degraded,6,0,1,5,0.2544,2.0002,-1.3849,0
PUMP-MONITOR,2026-01-01T07:50:00,479.88,3031.46,110.1,5.74,72.86,50.44,24.2,59.13,degraded,6,0,4,5,0.1871,9.3883,-8.7152,0
PUMP-MONITOR,2026-01-01T07:55:00,474.19,3111.49,98.06,4.4,71.82,50.35,23.88,60.7,degraded,6,0,3,5,-1.3367,-12.0375,-1.0473,0
PUMP-MONITOR,2026-01-01T08:00:00,473.64,3102.88,95.47,5.69,74.24,52.56,24.9,79.54,degraded,6,0,3,5,1.2949,-2.5965,2.4262,0
PUMP-MONITOR,2026-01-01T08:05:00,487.77,3045.85,99.2,4.49,79.22,51.28,25.01,61.81,degraded,6,0,1,5,-1.1983,3.7286,4.9821,0
PUMP-MONITOR,2026-01-01T08:10:00,475.49,3191.66,97.39,3.87,76.33,54.34,25.84,79.46,degraded,6,0,3,5,-0.6256,-1.8025,-2.8909,0
PUMP-MONITOR,2026-01-01T08:15:00,478.77,3044.26,105.89,3.88,81.95,52.89,25.32,68.28,degraded,6,0,2,5,0.0088,8.5014,5.6196,0
PUMP-MONITOR,2026-01-01T08:20:00,477.28,3134.12,104.6,3.85,76.78,50.31,24.01,61.09,degraded,6,0,4,5,-0.026,-1.2944,-5.1704,0
PUMP-MONITOR,2026-01-01T08:25:00,483.31,3187.22,92.34,4.06,72.81,54.43,26.31,68.07,degraded,6,0,4,5,0.2067,-12.2637,-3.9722,0
PUMP-MONITOR,2026-01-01T08:30:00,479.28,3060.52,96.07,6.0,71.08,52.74,25.28,62.15,degraded,6,0,3,5,1.9442,3.7338,-1.7339,0
PUMP-MONITOR,2026-01-01T08:35:00,488.76,3134.71,104.66,5.0,71.22,53.07,25.94,79.26,degraded,6,0,1,5,-1.0046,8.5921,0.1414,0
PUMP-MONITOR,2026-01-01T08:40:00,479.89,3163.56,113.78,5.93,83.18,52.92,25.4,71.72,degraded,6,0,2,5,0.9293,9.1197,11.9636,0
PUMP-MONITOR,2026-01-01T08:45:00,484.55,2953.89,90.29,5.08,70.51,53.28,25.81,75.55,degraded,6,0,1,5,-0.8475,-23.4943,-12.6666,0
PUMP-MONITOR,2026-01-01T08:50:00,472.83,2922.39,95.29,5.34,75.02,51.32,24.26,68.32,degraded,6,0,1,5,0.257,5.0025,4.5013,0
PUMP-MONITOR,2026-01-01T08:55:00,471.66,2920.6,112.36,5.05,73.56,52.07,24.56,68.07,degraded,6,0,4,5,-0.2847,17.0737,-1.4547,0
PUMP-MONITOR,2026-01-01T09:00:00,470.88,3126.13,108.36,5.01,76.47,54.37,25.6,74.73,degraded,6,0,0,5,-0.047,-4.0066,2.9071,0
PUMP-MONITOR,2026-01-01T09:05:00,485.61,2932.27,90.41,5.32,75.31,51.1,24.81,60.96,degraded,6,0,2,5,0.3162,-17.9446,-1.1585,0
PUMP-MONITOR,2026-01-01T09:10:00,477.33,3161.66,94.66,3.95,81.13,50.41,24.06,61.61,degraded,6,0,4,5,-1.3738,4.2481,5.821,0
PUMP-MONITOR,2026-01-01T09:15:00,477.16,3047.45,101.37,5.41,84.06,52.27,24.94,78.03,degraded,6,0,1,5,1.4572,6.7096,2.9275,0
PUMP-MONITOR,2026-01-01T09:20:00,473.12,3166.66,107.98,3.27,79.85,49.83,23.57,67.55,degraded,6,0,4,5,-2.1339,6.6071,-4.2082,0
PUMP-MONITOR,2026-01-01T09:25:00,470.97,3117.53,114.45,3.79,84.67,51.99,24.48,62.92,degraded,6,0,1,5,0.5146,6.472,4.8193,0
PUMP-MONITOR,2026-01-01T09:30:00,475.74,3095.15,93.81,3.57,83.32,48.37,23.01,56.75,degraded,6,0,4,5,-0.2204,-20.6439,-1.3541,0
PUMP-MONITOR,2026-01-01T09:35:00,485.78,3091.98,100.46,4.76,80.96,51.64,25.09,61.61,degraded,6,0,0,5,1.1992,6.6559,-2.3551,0
PUMP-MONITOR,2026-01-01T09:40:00,480.42,3018.64,102.96,5.29,73.16,53.67,25.78,69.48,degraded,6,0,2,5,0.5214,2.5019,-7.8007,0
PUMP-MONITOR,2026-01-01T09:45:00,478.47,3043.89,112.58,3.59,70.87,52.09,24.92,58.63,degraded,6,0,2,5,-1.6928,9.6196,-2.2942,0
PUMP-MONITOR,2026-01-01T09:50:00,476.89,3064.19,105.43,3.11,70.99,52.7,25.13,65.02,degraded,6,0,1,5,-0.4812,-7.1551,0.1198,0
PUMP-MONITOR,2026-01-01T09:55:00,489.41,3146.58,93.74,5.56,74.43,53.26,26.07,73.05,degraded,6,0,4,5,2.4466,-11.6854,3.4465,0
PUMP-MONITOR,2026-01-01T10:00:00,481.0,2954.91,96.76,5.3,75.9,53.28,25.63,79.01,degraded,6,0,2,5,-0.2561,3.0142,1.4679,0
PUMP-MONITOR,2026-01-01T10:05:00,485.87,3107.89,91.14,5.87,76.95,53.77,26.13,69.69,degraded,6,0,0,5,0.5633,-5.6173,1.0459,0
PUMP-MONITOR,2026-01-01T10:10:00,483.64,2944.68,91.02,5.9,71.18,55.11,26.65,71.44,degraded,6,0,0,5,0.0324,-0.1199,-5.7676,0
PUMP-MONITOR,2026-01-01T10:15:00,474.14,3054.61,90.87,3.9,71.69,50.49,23.94,64.74,degraded,6,0,0,5,-2.0005,-0.1497,0.5134,0
PUMP-MONITOR,2026-01-01T10:20:00,485.26,3159.62,101.37,4.45,71.23,48.77,23.67,56.39,degraded,6,0,3,5,0.5566,10.4999,-0.4624,0
PUMP-MONITOR,2026-01-01T10:25:00,470.46,2974.33,109.07,4.42,81.27,49.9,23.47,61.04,degraded,6,0,2,5,-0.0352,7.7034,10.0454,0
PUMP-MONITOR,2026-01-01T10:30:00,478.37,3200.73,95.55,5.36,82.33,52.79,25.25,79.77,degraded,6,0,2,5,0.9367,-13.5219,1.0518,0
PUMP-MONITOR,2026-01-01T10:35:00,486.15,2974.59,107.95,5.9,77.29,50.09,24.35,56.42,degraded,6,0,4,5,0.5465,12.4009,-5.0385,0
PUMP-MONITOR,2026-01-01T10:40:00,478.38,3124.88,109.12,4.83,79.26,50.78,24.29,68.68,degraded,6,0,0,5,-1.0679,1.1706,1.9755,0
PUMP-MONITOR,2026-01-01T10:45:00,472.91,3187.6,99.21,4.53,79.27,50.66,23.96,59.93,degraded,6,0,4,5,-0.3031,-9.9085,0.0107,0
PUMP-MONITOR,2026-01-01T10:50:00,472.32,2935.14,113.15,5.33,77.08,52.05,24.59,71.62,degraded,6,0,4,5,0.8011,13.9367,-2.1906,0
PUMP-MONITOR,2026-01-01T10:55:00,484.0,3120.98,108.06,5.48,72.87,53.04,25.67,76.09,degraded,6,0,3,5,0.1466,-5.0869,-4.2131,0
PUMP-MONITOR,2026-01-01T11:00:00,476.44,3082.6,101.03,3.34,82.67,52.31,24.92,64.39,degraded,6,0,3,5,-2.142,-7.0376,9.7984,0
PUMP-MONITOR,2026-01-01T11:05:00,474.14,3104.0,93.34,3.5,82.14,51.75,24.54,62.98,degraded,6,0,2,5,0.1628,-7.6893,-0.5293,0
PUMP-MONITOR,2026-01-01T11:10:00,489.25,3060.37,99.35,3.67,71.57,51.03,24.96,55.36,degraded,6,0,2,5,0.1694,6.0172,-10.5712,0
PUMP-MONITOR,2026-01-01T11:15:00,479.99,3044.76,99.53,5.07,80.5,50.18,24.08,66.89,degraded,6,0,4,5,1.4028,0.1713,8.9332,0
PUMP-MONITOR,2026-01-01T11:20:00,473.02,2993.61,92.84,3.05,73.61,54.1,25.59,74.58,degraded,6,0,4,5,-2.0235,-6.6887,-6.8953,0
PUMP-MONITOR,2026-01-01T11:25:00,470.54,2976.74,114.47,5.83,83.44,51.56,24.26,72.9,degraded,6,0,4,5,2.7814,21.6359,9.8333,0
PUMP-MONITOR,2026-01-01T11:30:00,486.41,3075.58,105.59,5.21,80.33,52.26,25.42,57.97,degraded,6,0,1,5,-0.6167,-8.8834,-3.1131,0
PUMP-MONITOR,2026-01-01T11:35:00,484.82,3200.46,96.07,4.27,72.91,49.92,24.2,63.38,degraded,6,0,0,5,-0.9421,-9.5198,-7.4149,0
PUMP-MONITOR,2026-01-01T11:40:00,487.57,3198.31,101.87,5.09,84.49,52.21,25.46,56.05,degraded,6,0,2,5,0.8175,5.7983,11.575,0
PUMP-MONITOR,2026-01-01T11:45:00,474.64,3126.91,91.14,4.79,78.72,53.02,25.17,64.03,degraded,6,0,0,5,-0.2999,-10.7263,-5.7695,0
PUMP-MONITOR,2026-01-01T11:50:00,475.75,3016.88,111.31,3.38,82.82,52.59,25.02,76.66,degraded,6,0,3,5,-1.4095,20.17,4.1004,0
PUMP-MONITOR,2026-01-01T11:55:00,486.41,3171.08,105.43,3.33,71.91,52.91,25.73,67.23,degraded,6,0,0,5,-0.0505,-5.8855,-10.9105,0
PUMP-MONITOR,2026-01-01T12:00:00,484.64,3056.49,105.82,4.54,77.01,50.38,24.42,65.79,degraded,6,0,0,5,1.2093,0.394,5.1047,0
PUMP-MONITOR,2026-01-01T12:05:00,478.41,2973.62,114.76,3.19,80.41,53.19,25.45,77.54,degraded,6,0,1,5,-1.3482,8.9444,3.4006,0
PUMP-MONITOR,2026-01-01T12:10:00,472.45,3040.95,110.96,3.21,80.44,50.92,24.06,71.86,degraded,6,0,3,5,0.023,-3.8006,0.0318,0
PUMP-MONITOR,2026-01-01T12:15:00,482.09,2979.21,109.25,5.26,76.55,51.58,24.87,62.55,degraded,6,0,2,5,2.0473,-1.7177,-3.8925,0
PUMP-MONITOR,2026-01-01T12:20:00,478.15,3159.15,93.09,3.53,77.66,47.81,22.86,55.26,degraded,6,0,0,5,-1.7319,-16.1609,1.1069,0
PUMP-MONITOR,2026-01-01T12:25:00,474.15,3184.32,101.17,3.61,77.74,50.01,23.71,67.28,degraded,6,0,1,5,0.0768,8.0879,0.0838,0
PUMP-MONITOR,2026-01-01T12:30:00,473.73,2956.23,98.21,5.2,80.03,50.72,24.03,68.61,degraded,6,0,1,5,1.5967,-2.9615,2.2872,0
PUMP-MONITOR,2026-01-01T12:35:00,482.76,2944.5,115.0,5.19,74.11,49.71,24.0,56.16,degraded,6,0,2,5,-0.0084,16.7846,-5.9162,0
PUMP-MONITOR,2026-01-01T12:40:00,479.15,3201.89,115.05,4.34,70.72,50.91,24.4,71.34,degraded,6,0,0,5,-0.8506,0.0558,-3.3935,0
PUMP-MONITOR,2026-01-01T12:45:00,480.51,3016.51,106.19,3.84,79.21,49.89,23.97,61.02,degraded,6,0,4,5,-0.5067,-8.8637,8.4919,0
PUMP-MONITOR,2026-01-01T12:50:00,483.21,2927.73,91.49,4.22,78.92,55.07,26.61,71.93,degraded,6,0,2,5,0.3801,-14.7002,-0.2927,0
PUMP-MONITOR,2026-01-01T12:55:00,489.32,3006.46,98.86,4.61,79.81,52.43,25.66,67.64,degraded,6,0,0,5,0.393,7.3728,0.8954,0
PUMP-MONITOR,2026-01-01T13:00:00,488.85,2965.78,102.81,5.32,81.12,54.88,26.83,68.84,degraded,6,0,4,5,0.7101,3.9502,1.3041,0
PUMP-MONITOR,2026-01-01T13:05:00,475.53,2979.03,103.49,4.95,70.34,53.07,25.23,71.75,degraded,6,0,2,5,-0.3722,0.6762,-10.7825,0
